judge_full_name,court_name,election_year,yes_votes,no_votes,retained
Maria E. Berkenkotter,Colorado Supreme Court,2024,1685363,837630,yes
Brian D. Boatright,Colorado Supreme Court,2024,1571597,930272,yes
Monica M. Márquez,Colorado Supreme Court,2024,1613684,905209,yes
Stephanie Dunn,Colorado Court of Appeals,2024,1674266,766207,yes
Jerry N. Jones,Colorado Court of Appeals,2024,1460408,956221,yes
W. Eric Kuhn,Colorado Court of Appeals,2024,1622478,795393,yes
Gilbert M. Román,Colorado Court of Appeals,2024,1624623,787676,yes
Timothy J. Schutz,Colorado Court of Appeals,2024,1558761,846107,yes
Jason D. Carrithers,1st Judicial District Court,2024,179550,87480,yes
Diego G. Hunt,1st Judicial District Court,2024,184369,81908,yes
Mark T. Bailey,2nd Judicial District Court,2024,198081,58188,yes
Adam J. Espinosa,2nd Judicial District Court,2024,197878,59093,yes
Jay S. Grant,2nd Judicial District Court,2024,191036,64001,yes
Marie A. Moses,2nd Judicial District Court,2024,199610,56737,yes
Alex C. Myers,2nd Judicial District Court,2024,196297,58341,yes
Anita M. Schutte,2nd Judicial District Court,2024,201313,54238,yes
Stephanie Scoville,2nd Judicial District Court,2024,193166,54958,yes
Demetria E. Trujillo,2nd Judicial District Court,2024,194500,53180,yes
Eric Bentley,4th Judicial District Court,2024,187134,117720,yes
Linda M. Billings-Vela,4th Judicial District Court,2024,185544,118436,yes
Jill M. Brady,4th Judicial District Court,2024,194252,109377,yes
Samuel Albert Evig,4th Judicial District Court,2024,183511,119655,yes
Laura N. Findorff,4th Judicial District Court,2024,180199,122800,yes
Diana K. May,4th Judicial District Court,2024,189531,114031,yes
William H. Moller,4th Judicial District Court,2024,186871,116261,yes
David L. Shakes,4th Judicial District Court,2024,199705,103746,yes
Rachel J. Olguin-Fresquez,5th Judicial District Court,2024,28226,10226,yes
Kim Soon Shropshire,6th Judicial District Court,2024,23557,9647,yes
Steven L. Schultz,7th Judicial District Court,2024,31523,17956,yes
Keri A. Yoder,7th Judicial District Court,2024,32195,17612,yes
Sarah B. Cure,8th Judicial District Court,2024,115990,54485,yes
Joseph D. Findley,8th Judicial District Court,2024,115680,53796,yes
Anne K. Norrdin,9th Judicial District Court,2024,25023,8902,yes
Tim O'Shea,10th Judicial District Court,2024,46030,28379,yes
Kaitlin B. Turner,11th Judicial District Court,2024,25239,19198,yes
Kimberly D. Cortez-Rodriguez,12th Judicial District Court,2024,14039,6025,yes
Justin B. Haenlein,13th Judicial District Court,2024,17407,13301,yes
Robert C James,13th Judicial District Court,2024,17403,13400,yes
Carl S. McGuire III,13th Judicial District Court,2024,18720,12513,yes
Michael J. Davidson,15th Judicial District Court,2024,4989,2601,yes
Samuel S. Vigil,16th Judicial District Court,2024,7866,3413,yes
Sharon Diane Holbrook,17th Judicial District Court,2024,141655,73961,yes
Brett M. Martin,17th Judicial District Court,2024,136030,78460,yes
Teri L. Vasquez,17th Judicial District Court,2024,142570,71720,yes
Benjamin Figa,18th Judicial District Court,2024,285397,157903,yes
"Ben L. Leutwyler, III",18th Judicial District Court,2024,283264,159255,yes
Robert R. Lung,18th Judicial District Court,2024,295376,146557,yes
Bonnie H. McLean,18th Judicial District Court,2024,305704,136979,yes
Don J. Toussaint,18th Judicial District Court,2024,292098,148349,yes
Shay K. Whitaker,18th Judicial District Court,2024,297862,142678,yes
"Joseph R. Whitfield, Jr.",18th Judicial District Court,2024,250176,188387,yes
Anita J. Crowther,19th Judicial District Court,2024,75911,60300,yes
Allison J. Esser,19th Judicial District Court,2024,85424,50985,yes
Todd L. Taylor,19th Judicial District Court,2024,86297,48910,yes
J. Keith Collins,20th Judicial District Court,2024,107493,28146,yes
Robert R. Gunning,20th Judicial District Court,2024,107824,27045,yes
Dea Marie Lindsey,20th Judicial District Court,2024,106454,28768,yes
Thomas F. Mulvahill,20th Judicial District Court,2024,103032,31561,yes
Todd Jay Plewe,22nd Judicial District Court,2024,9920,4081,yes
